Auxiliary Dataset D1.  Modeled motions for the hotspots listed in Table S6.
---------------------------------------------
Hotspot   Age      Lat        Lon
Caroline   8.2000   4.3240   162.6012
Caroline   8.4000   4.2945   162.4759
Caroline   8.8000   4.2309   162.3881
Caroline   9.2000   4.1658   162.1758
Caroline   9.2000   4.1647   162.2979
Caroline   9.6000   4.0980   162.2519
Caroline   10.0000   4.0310   162.1475
Caroline   10.4000   3.9660   162.0484
Caroline   10.8000   3.9001   161.9607
Caroline   11.2000   3.8371   161.8741
Caroline   11.8000   3.8145   161.7343
Caroline   12.2000   3.7978   161.6280
Caroline   12.6000   3.7823   161.5112
Caroline   13.2000   3.7632   161.4104
Caroline   13.6000   3.7521   161.2813
Caroline   14.2000   3.7334   161.1725
Caroline   14.6000   3.7226   161.0704
Caroline   15.2000   3.7130   160.9382
Caroline   15.6000   3.7044   160.8296
Caroline   16.2000   3.6914   160.7014
Caroline   16.8000   3.6835   160.5478
Caroline   17.6000   3.6661   160.3885
Caroline   18.4000   3.6446   160.2401
Caroline   19.4000   3.6069   160.1003
Caroline   20.2000   3.5593   159.8966
Caroline   20.2000   3.5597   159.9983
Caroline   21.4000   3.4801   159.9673
Caroline   22.2000   3.4132   159.8627
Caroline   23.6000   3.2899   159.7446
Caroline   24.6000   3.2015   159.8011
Caroline   25.4000   3.1197   159.7353
Caroline   26.2000   3.0479   159.8148
Caroline   27.0000   2.9613   159.7227
Caroline   27.8000   2.8921   159.8118
Caroline   28.6000   2.8117   159.7247
Caroline   29.8000   2.7142   159.7829
Caroline   30.6000   2.6494   159.6851
Caroline   33.6000   2.6077   159.5922
Caroline   37.8000   2.6787   159.7864
Caroline   38.8000   2.7242   159.8974
Caroline   39.4000   2.7554   160.0337
Caroline   40.2000   2.8202   160.1496
Caroline   40.8000   2.8772   160.2799
Caroline   44.2000   2.9848   160.3560
Caroline   46.0000   3.0761   160.4016
Caroline   47.4000   3.1770   160.4433
Caroline   48.8000   3.3340   160.4760
Caroline   49.4000   3.4373   160.4673
Caroline   50.0000   3.5429   160.4721
Caroline   50.6000   3.6401   160.5031
Caroline   52.4000   3.7430   160.5106
Caroline   54.4000   3.8311   160.4511
Caroline   60.2000   3.9570   160.3744
Caroline   63.2000   4.0024   160.4978
Caroline   64.6000   4.0192   160.6044
Caroline   65.8000   4.0207   160.7116
Caroline   68.0000   4.0500   160.8941
Caroline   68.8000   4.0200   161.0153
Caroline   69.6000   4.0300   161.1199
Caroline   70.2000   4.0026   161.2352
Caroline   70.8000   3.9920   161.3512
Caroline   71.2000   3.9560   161.4478
Caroline   71.8000   3.9498   161.5817
Caroline   72.2000   3.9256   161.6856
Caroline   72.6000   3.8980   161.7952
Caroline   73.0000   3.8765   161.9107
Caroline   73.4000   3.8394   162.0304
Caroline   73.8000   3.7980   162.1537
Caroline   74.2000   3.7451   162.2774
Caroline   74.8000   3.6808   162.4865
Caroline   75.2000   3.6234   162.6249
Caroline   75.6000   3.5621   162.7670
Caroline   76.0000   3.4970   162.9110
Caroline   76.4000   3.4285   163.0566
Caroline   76.8000   3.3543   163.2018
Caroline   77.2000   3.2744   163.3466
Caroline   77.6000   3.1888   163.4910
Caroline   78.0000   3.1024   163.6238
Caroline   78.6000   2.9571   163.8427
Caroline   79.0000   2.8710   163.9653
Caroline   79.4000   2.7824   164.0924
Caroline   79.8000   2.6987   164.2095
Caroline   80.0000   2.6586   164.2642
Cobb   0.0000   46.0582   -129.9641
Cobb   4.0000   46.0790   -129.9730
Cobb   6.8000   45.9744   -129.9809
Cobb   9.4000   45.8288   -129.9983
Cobb   10.8000   45.7213   -129.9359
Cobb   12.4000   45.6136   -129.8897
Cobb   13.8000   45.5039   -129.8549
Cobb   15.0000   45.4016   -129.8590
Cobb   16.4000   45.2889   -129.7940
Cobb   18.2000   45.1777   -129.6072
Cobb   19.2000   45.1581   -129.4435
Cobb   19.8000   45.1748   -129.3019
Cobb   20.4000   45.2075   -129.1403
Cobb   22.0000   45.2677   -128.9966
Cobb   24.4000   45.2601   -129.1489
Cobb   26.4000   45.3287   -129.3194
Cobb   27.2000   45.2972   -129.4671
Cobb   27.8000   45.2821   -129.6276
Cobb   28.4000   45.2364   -129.8110
Cobb   28.8000   45.2361   -130.0087
Cobb   29.2000   45.2079   -130.2193
Cobb   29.6000   45.1422   -130.3687
Cobb   29.8000   45.1262   -130.5176
Cobb   30.0000   45.1068   -130.6744
Cobb   30.2000   45.0839   -130.8443
Cobb   30.6000   45.0061   -131.0180
Cobb   30.8000   44.9863   -131.2649
Cobb   31.4000   44.8869   -131.4348
Cobb   31.8000   44.8314   -131.5791
Cobb   32.4000   44.7317   -131.6662
Cobb   33.0000   44.6261   -131.7550
Cobb   33.6000   44.5145   -131.8403
Cobb   34.0000   44.4382   -131.9310
Cobb   34.4000   44.3589   -132.0200
Cobb   34.8000   44.2761   -132.1107
Cobb   35.2000   44.1907   -132.1972
Cobb   35.6000   44.1054   -132.3645
Cobb   36.2000   43.9769   -132.3953
Cobb   36.6000   43.8921   -132.5319
Cobb   37.2000   43.7634   -132.5430
Cobb   37.8000   43.6344   -132.6046
Cobb   38.2000   43.5482   -132.6845
Cobb   38.8000   43.4189   -132.6778
Cobb   39.8000   43.2147   -132.5817
Cobb   40.4000   43.0988   -132.4790
Cobb   41.2000   42.9202   -132.4220
Cobb   41.6000   42.7586   -132.3977
Cobb   42.0000   42.5998   -132.3851
Cobb   42.4000   42.4351   -132.3260
Cobb   42.8000   42.2704   -132.2586
Cobb   43.0000   42.1869   -132.2127
Comores   0.0000   -11.8161   43.3460
Comores   0.2000   -11.8326   43.3064
Comores   0.8000   -11.8811   43.1844
Comores   1.4000   -11.9115   43.0704
Comores   2.0000   -11.9598   42.9550
Comores   2.6000   -11.9907   42.8444
Comores   3.2000   -12.0218   42.7355
Comores   3.8000   -12.0713   42.6226
Comores   4.4000   -12.1030   42.5166
Comores   5.0000   -12.1518   42.4076
Comores   5.6000   -12.1829   42.3062
Comores   6.4000   -12.2301   42.1710
Comores   7.2000   -12.2766   42.0397
Comores   7.8000   -12.3241   41.9374
Comores   8.6000   -12.3687   41.8132
Comores   9.4000   -12.4116   41.6927
Comores   10.2000   -12.4536   41.5771
Comores   11.0000   -12.5123   41.4544
Comores   12.4000   -12.5286   41.2600
Comores   13.2000   -12.5512   41.1373
Comores   14.0000   -12.5505   41.0296
Comores   14.8000   -12.5429   40.9256
Comores   15.6000   -12.5404   40.8194
Comores   16.4000   -12.5534   40.7034
Comores   17.8000   -12.5014   40.5446
Comores   18.8000   -12.4701   40.4275
Comores   19.8000   -12.4327   40.3130
Comores   20.6000   -12.3565   40.2466
Comores   21.6000   -12.3127   40.1473
Comores   22.6000   -12.3231   40.0408
Comores   24.0000   -12.2609   39.9467
Comores   25.4000   -12.2327   39.8407
Comores   27.0000   -12.1757   39.7467
Comores   29.6000   -12.0493   39.6395
Comores   31.4000   -12.0129   39.5276
Comores   32.2000   -12.0443   39.4151
Comores   33.8000   -12.0740   39.2053
Comores   34.6000   -12.1018   39.0865
Comores   35.4000   -12.1406   38.9576
Comores   36.0000   -12.1851   38.8500
Comores   36.8000   -12.2068   38.7222
Comores   37.4000   -12.2521   38.6052
Comores   38.2000   -12.2965   38.4544
Comores   38.8000   -12.3358   38.3338
Comores   39.4000   -12.3334   38.2302
Comores   40.0000   -12.3692   38.1015
Comores   40.6000   -12.4054   37.9676
Comores   42.0000   -12.4183   37.8313
Comores   46.8000   -12.3942   37.6581
Comores   49.6000   -12.4130   37.5188
Comores   50.8000   -12.4352   37.4077
Comores   52.0000   -12.4543   37.2932
